key,code,moment,duration-start,duration-end,amount,project-type,email,link,draft-mode,key:project,key:sponsor
sponsorship-14,SP-014,2021/06/07 19:00,2022/10/11 18:00,2022/11/11 18:01,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-15,SP-015,2021/06/07 19:00,2022/10/11 18:00,2200/12/31 23:59,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-16,SP-016,2021/06/07 19:00,2022/10/11 18:00,2200/12/31 23:58,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-04
sponsorship-17,SP-017,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 00.01",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-18,SP-018,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 00.02",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-03
sponsorship-19,SP-019,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 1,000,000.00",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-03
sponsorship-20,SP-020,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 999,999.99",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-21,SP-021,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"USD 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-22,SP-022,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"GBP 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-23,SP-023,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",IN_KIND,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-24,SP-024,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,伊尺诶娜迪艾艾@gmail.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-25,SP-025,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@hotmail.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-26,SP-026,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,null,https://www.github.com,false,project-01,sponsor-01
sponsorship-27,SP-027,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.abcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmn.com,false,project-01,sponsor-01
sponsorship-28,SP-028,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.abcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklm.com,false,project-01,sponsor-01
sponsorship-29,SP-029,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,null,false,project-01,sponsor-01
sponsorship-30,SP-030,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,http://www.github.com,false,project-01,sponsor-01
sponsorship-31,SP-031,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,ftp://www.github.com,false,project-01,sponsor-01
sponsorship-32,SP-032,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://伊尺诶娜迪艾艾.com,false,project-01,sponsor-01
sponsorship-33,SP-033,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,true,project-01,sponsor-01
