key,enabled,identity,password,username
user-account-sponsor-02.6,true,"UserIdentity{name: 'Sponsor', surname: '2.6', email: 'sponsor2.6@acme.com'}",sponsor2.6,sponsor2.6
user-account-sponsor-02.7,true,"UserIdentity{name: 'Sponsor', surname: '2.7', email: 'sponsor2.7@acme.com'}",sponsor2.7,sponsor2.7
user-account-sponsor-02.8,true,"UserIdentity{name: 'Sponsor', surname: '2.8', email: 'sponsor2.8@acme.com'}",sponsor2.8,sponsor2.8
user-account-sponsor-02.9,true,"UserIdentity{name: 'Sponsor', surname: '2.9', email: 'sponsor2.9@acme.com'}",sponsor2.9,sponsor2.9
user-account-sponsor-03.1,true,"UserIdentity{name: 'Sponsor', surname: '3.1', email: 'sponsor3.1@acme.com'}",sponsor3.1,sponsor3.1
user-account-sponsor-03.2,true,"UserIdentity{name: 'Sponsor', surname: '3.2', email: 'sponsor3.2@acme.com'}",sponsor3.2,sponsor3.2
user-account-sponsor-03.3,true,"UserIdentity{name: 'Sponsor', surname: '3.3', email: 'sponsor3.3@acme.com'}",sponsor3.3,sponsor3.3
user-account-sponsor-03.4,true,"UserIdentity{name: 'Sponsor', surname: '3.4', email: 'sponsor3.4@acme.com'}",sponsor3.4,sponsor3.4
user-account-sponsor-03.5,true,"UserIdentity{name: 'Sponsor', surname: '3.5', email: 'sponsor3.5@acme.com'}",sponsor3.5,sponsor3.5
user-account-sponsor-03.6,true,"UserIdentity{name: 'Sponsor', surname: '3.6', email: 'sponsor3.6@acme.com'}",sponsor3.6,sponsor3.6
user-account-sponsor-03.7,true,"UserIdentity{name: 'Sponsor', surname: '3.7', email: 'sponsor3.7@acme.com'}",sponsor3.7,sponsor3.7
user-account-sponsor-03.8,true,"UserIdentity{name: 'Sponsor', surname: '3.8', email: 'sponsor3.8@acme.com'}",sponsor3.8,sponsor3.8
user-account-sponsor-03.9,true,"UserIdentity{name: 'Sponsor', surname: '3.9', email: 'sponsor3.9@acme.com'}",sponsor3.9,sponsor3.9
user-account-sponsor-04.1,true,"UserIdentity{name: 'Sponsor', surname: '4.1', email: 'sponsor4.1@acme.com'}",sponsor4.1,sponsor4.1
user-account-sponsor-04.2,true,"UserIdentity{name: 'Sponsor', surname: '4.2', email: 'sponsor4.2@acme.com'}",sponsor4.2,sponsor4.2
user-account-sponsor-04.3,true,"UserIdentity{name: 'Sponsor', surname: '4.3', email: 'sponsor4.3@acme.com'}",sponsor4.3,sponsor4.3
user-account-sponsor-04.4,true,"UserIdentity{name: 'Sponsor', surname: '4.4', email: 'sponsor4.4@acme.com'}",sponsor4.4,sponsor4.4
user-account-sponsor-04.5,true,"UserIdentity{name: 'Sponsor', surname: '4.5', email: 'sponsor4.5@acme.com'}",sponsor4.5,sponsor4.5
user-account-sponsor-04.6,true,"UserIdentity{name: 'Sponsor', surname: '4.6', email: 'sponsor4.6@acme.com'}",sponsor4.6,sponsor4.6
user-account-sponsor-04.7,true,"UserIdentity{name: 'Sponsor', surname: '4.7', email: 'sponsor4.7@acme.com'}",sponsor4.7,sponsor4.7
user-account-sponsor-05.1,true,"UserIdentity{name: 'Sponsor', surname: '5.1', email: 'sponsor5.1@acme.com'}",sponsor5.1,sponsor5.1
user-account-sponsor-05.2,true,"UserIdentity{name: 'Sponsor', surname: '5.2', email: 'sponsor5.2@acme.com'}",sponsor5.2,sponsor5.2
user-account-sponsor-05.3,true,"UserIdentity{name: 'Sponsor', surname: '5.3', email: 'sponsor5.3@acme.com'}",sponsor5.3,sponsor5.3
user-account-sponsor-05.4,true,"UserIdentity{name: 'Sponsor', surname: '5.4', email: 'sponsor5.4@acme.com'}",sponsor5.4,sponsor5.4
user-account-sponsor-05.5,true,"UserIdentity{name: 'Sponsor', surname: '5.5', email: 'sponsor5.5@acme.com'}",sponsor5.5,sponsor5.5
